FSA,Employment Income #,Employment Income $,EmploymentIncomePP,Pension Income #,Pension Income $,PensionIncomePP,Investment Income #,Investment Income $,InvestmentIncomePP,Self-employment Income #,Self-employment Income $,SelfEmpIncomePP,Benefits Income #,Benefits Income $,BenefitIncomePP,Other Income #,Other Income $,OtherIncomePP
K0A,58630,3532891000,60257,29920,1020959000,16943,29280,402079000,13732,10290,170356000,16555,19860,170055000,8563,27470,262469000,9555
K0B,10330,472503000,45741,7150,184872000,4042,6310,75523000,11969,2320,27783000,11975,5960,48320000,8107,4950,44742000,9039
K0C,26550,1241111000,46746,17280,467812000,10008,13560,168790000,12448,5060,61654000,12185,13340,108316000,8120,12310,109196000,8871
K0E,19330,872325000,45128,13300,378352000,8384,8600,116897000,13593,3600,40052000,11126,9840,83562000,8492,9820,92603000,9430
K0G,19230,967767000,50326,13430,447555000,8893,9500,127509000,13422,3870,45851000,11848,8210,69094000,8416,10160,100021000,9845
K0H,22080,1045123000,47333,16040,507373000,10719,11150,153342000,13753,4410,57891000,13127,10370,92308000,8901,11840,127159000,10740
K0J,15500,702655000,45333,13170,379673000,8375,8290,80921000,9761,3430,33537000,9778,9260,76679000,8281,8090,75241000,9300
K0K,53670,2366286000,44090,41150,1190496000,27001,28020,310182000,11070,11590,144859000,12499,28950,247381000,8545,30580,318044000,10400
K0L,33970,1471364000,43314,28460,803503000,18551,19610,240020000,12240,7510,87831000,11695,20270,173654000,8567,21340,206335000,9669
K0M,22630,951608000,42051,21320,640823000,15239,14490,184437000,12729,5640,71641000,12702,13280,108973000,8206,15150,155967000,10295
K1A,60,7257000,120950,0,0,0,40,210000,5250,0,0,0,0,0,0,30,149000,4967
K1B,8960,446396000,49821,4280,160987000,3231,3850,36954000,9598,1260,17907000,14212,3620,36546000,10096,4570,41188000,9013
K1C,19800,1132233000,57183,11690,527593000,9226,10810,120225000,11122,2560,60025000,23447,5850,57206000,9779,10210,94479000,9254
K1E,7870,422182000,53644,4890,207485000,3868,3730,30185000,8092,890,14326000,16097,2520,23783000,9438,3830,32348000,8446
K1G,17580,882033000,50173,7930,295387000,5887,8240,114477000,13893,2750,45916000,16697,7340,75476000,10283,9860,97510000,9889
K1H,7820,545952000,69815,4640,200479000,2872,5520,132199000,23949,1450,52805000,36417,2640,25918000,9817,4910,52747000,10743
K1J,13730,734030000,53462,7130,286279000,5355,6940,120683000,17389,2140,39315000,18371,5680,57318000,10091,7740,72715000,9395
K1K,14820,731503000,49359,8320,297493000,6027,6930,75351000,10873,2270,41435000,18253,8590,87815000,10223,8770,83181000,9485
K1L,8280,397202000,47971,4310,140871000,2937,3620,48868000,13499,1290,22043000,17088,4840,49631000,10254,4480,42018000,9379
K1M,3250,405943000,124906,2090,123685000,990,2970,195829000,65936,720,36324000,50450,590,5825000,9873,2210,24977000,11302
K1N,13190,770341000,58403,4990,206234000,3531,6520,108519000,16644,1920,32838000,17103,5470,55054000,10065,6990,67645000,9677
K1P,500,256826000,513652,140,6032000,12,360,43101000,119725,80,2934000,36675,80,790000,9875,210,3512000,16724
K1R,10520,739774000,70321,3190,102418000,1456,4720,50673000,10736,1490,34877000,23407,4260,45469000,10673,4690,43751000,9329
K1S,16240,1351675000,83231,6610,344799000,4143,10690,333710000,31217,3080,141571000,45965,3480,33724000,9691,9070,95367000,10515
K1T,20080,1071367000,53355,6540,200899000,3765,7950,85653000,10774,3330,50470000,15156,7660,80798000,10548,10800,106170000,9831
K1V,27840,1497435000,53787,11650,461614000,8582,12480,193751000,15525,4390,74385000,16944,11440,118584000,10366,15250,145734000,9556
K1W,7530,490170000,65096,2350,94444000,1451,3250,54466000,16759,1050,23534000,22413,1910,18813000,9850,3450,33096000,9593
K1X,2160,148507000,68753,470,12973000,189,1040,10253000,9859,310,4868000,15703,610,6540000,10721,1010,9190000,9099
K1Y,10920,942200000,86282,4360,189451000,2196,6610,139978000,21177,1760,66165000,37594,3110,30960000,9955,5420,55971000,10327
K1Z,11140,720378000,64666,4600,157797000,2440,5240,89060000,16996,1660,38806000,23377,5280,54196000,10264,5800,54625000,9418
K2A,8380,664698000,79320,5030,228680000,2883,6430,192229000,29896,1450,62080000,42814,2480,23040000,9290,5320,59009000,11092
K2B,15710,754022000,47996,7920,266621000,5555,6900,88283000,12795,2370,35744000,15082,7820,79640000,10184,8780,78744000,8969
K2C,15110,838861000,55517,6280,221384000,3988,7390,102889000,13923,2180,39159000,17963,5510,52452000,9519,7610,66987000,8802
K2E,9790,510531000,52148,5270,214996000,4123,5540,81230000,14662,1520,26480000,17421,4000,39856000,9964,5480,49125000,8964
K2G,27510,1584997000,57615,10760,402641000,6988,13730,193879000,14121,4150,80519000,19402,8550,84359000,9867,14530,130739000,8998
K2H,13370,803153000,60071,7640,312217000,5197,7910,142764000,18049,1960,42920000,21898,4580,43014000,9392,7730,73258000,9477
K2J,43590,2687127000,61645,12310,428433000,6950,18020,190963000,10597,5820,106445000,18290,11910,118260000,9929,20640,196332000,9512
K2K,12710,890376000,70053,6300,269655000,3849,8370,150294000,17956,1750,35934000,20534,3270,31592000,9661,7490,72842000,9725
K2L,10110,568229000,56205,4850,174028000,3096,4590,42901000,9347,1250,20482000,16386,3460,32660000,9439,4950,45237000,9139
K2M,16420,1111176000,67672,4980,184931000,2733,7230,79765000,11033,2000,39309000,19655,4150,39872000,9608,7620,72745000,9547
K2P,10060,781007000,77635,3130,121119000,1560,4630,77432000,16724,1330,37740000,28376,3540,35443000,10012,4380,39396000,8995
K2R,610,59789000,98015,360,16471000,168,590,35312000,59851,150,8359000,55727,140,1241000,8864,440,5246000,11923
K2S,20940,1490956000,71201,7900,312122000,4384,10170,144215000,14180,2670,66880000,25049,4950,45796000,9252,9960,100501000,10090
K2T,6130,494526000,80673,1640,54208000,672,3750,48301000,12880,770,17284000,22447,1250,12493000,9994,2930,28817000,9835
K2V,4660,306865000,65851,850,28024000,426,1860,15374000,8266,680,10758000,15821,1240,12612000,10171,2000,18809000,9405
K2W,4640,383251000,82597,1190,40746000,493,2350,48824000,20776,590,12987000,22012,970,9599000,9896,2260,24979000,11053
K4A,34910,2150239000,61594,11980,480838000,7807,13460,127966000,9507,4250,81126000,19088,9370,92067000,9826,15570,145734000,9360
K4B,2580,154423000,59854,1420,52226000,873,1500,28021000,18681,440,12147000,27607,810,6711000,8285,1230,10741000,8733
K4C,2290,154095000,67290,1390,58192000,865,1500,43340000,28893,430,13176000,30642,690,6327000,9170,1250,13891000,11113
K4K,8780,470816000,53624,5110,177435000,3309,4020,36695000,9128,1060,18958000,17885,3300,29037000,8799,3850,35734000,9282
K4M,7080,597972000,84459,3530,155910000,1846,4970,144475000,29069,1260,37451000,29723,1630,15985000,9807,4150,48654000,11724
K4P,5700,418245000,73376,2570,98782000,1346,2950,68392000,23184,800,16814000,21018,1440,13408000,9311,2750,27384000,9958
K4R,4800,287716000,59941,2210,82013000,1368,2060,23525000,11420,640,10697000,16714,1370,11637000,8494,2020,17736000,8780
K6A,5660,218405000,38587,5190,127680000,3309,3350,32077000,9575,700,10984000,15691,4950,43513000,8791,3060,28130000,9193
K6H,13780,534101000,38759,10150,265758000,6857,6100,52953000,8681,1360,17509000,12874,9930,90726000,9137,7560,68917000,9116
K6J,8120,307034000,37812,5790,143542000,3796,3170,23324000,7358,780,11303000,14491,5740,49294000,8588,4060,36632000,9023
K6K,1700,78026000,45898,1100,30212000,658,750,8471000,11295,180,2768000,15378,860,7332000,8526,760,7542000,9924
K6T,360,17861000,49614,210,6581000,133,160,554000,3463,40,1437000,35925,120,1162000,9683,160,1676000,10475
K6V,13060,552029000,42269,10290,321199000,7599,6910,88378000,12790,1640,27101000,16525,7460,67438000,9040,7510,78048000,10393
K7A,8330,350950000,42131,5700,163998000,3893,3150,24387000,7742,1150,11105000,9657,4730,43002000,9091,4060,39392000,9702
K7C,10230,553272000,54083,5740,189612000,3506,4240,58026000,13685,1480,28855000,19497,3920,34558000,8816,5080,46302000,9115
K7G,4240,188263000,44402,3290,106831000,2406,2330,52087000,22355,710,11015000,15514,2050,17674000,8621,2450,23837000,9729
K7H,7500,376478000,50197,6520,223511000,4453,4710,64608000,13717,1420,18265000,12863,3730,30494000,8175,4390,42329000,9642
K7K,15760,692493000,43940,7320,219730000,5001,5690,68184000,11983,2090,38893000,18609,8530,87109000,10212,7970,73552000,9229
K7L,8390,440200000,52467,5640,244952000,4669,5920,179468000,30316,1600,48538000,30336,2920,26796000,9177,5280,55774000,10563
K7M,24280,1057130000,43539,14850,523497000,12024,11940,152219000,12749,3330,61440000,18450,10580,101522000,9596,12780,121917000,9540
K7N,4410,204563000,46386,2180,69091000,1489,1380,9776000,7084,380,6961000,18318,1830,18041000,9858,1830,15344000,8385
K7P,13390,711014000,53100,6340,228562000,4304,6200,77761000,12542,1850,43750000,23649,4330,41529000,9591,6450,59628000,9245
K7R,6960,301796000,43361,5320,152363000,3514,3250,32776000,10085,1070,12270000,11467,4020,36410000,9057,3680,32314000,8781
K7S,6850,322681000,47107,4850,148713000,3157,3140,33883000,10791,990,12952000,13083,3440,28922000,8408,3470,33937000,9780
K7V,6390,272919000,42710,5150,141144000,3305,3010,30468000,10122,1010,13080000,12950,4150,35044000,8444,3260,30373000,9317
K8A,12530,573183000,45745,8920,254154000,5556,5630,59957000,10650,1730,27388000,15831,7200,63824000,8864,6140,56736000,9240
K8B,270,16000000,59259,120,3959000,67,110,1157000,10518,20,749000,37450,60,492000,8200,110,856000,7782
K8H,8800,505866000,57485,2820,88289000,1536,2170,10979000,5059,720,10207000,14176,2110,19332000,9162,2800,27824000,9937
K8N,14750,689658000,46756,10380,324135000,6932,7920,101137000,12770,2170,45811000,21111,7690,70832000,9211,8060,77579000,9625
K8P,10810,404132000,37385,6660,185646000,4966,4330,35075000,8100,1280,20877000,16310,6810,64537000,9477,5620,48761000,8676
K8R,960,47699000,49686,550,18824000,379,420,3385000,8060,100,954000,9540,380,3365000,8855,450,4072000,9049
K8V,13760,599201000,43547,9140,253875000,5830,5320,41585000,7817,1460,21818000,14944,7500,68759000,9168,6550,58172000,8881
K9A,12560,583598000,46465,10600,353290000,7603,7960,109386000,13742,2040,34660000,16990,6210,52217000,8409,7910,89166000,11273
K9H,13040,511527000,39228,8510,253295000,6457,6530,68481000,10487,2040,31541000,15461,8140,76151000,9355,7960,69108000,8682
K9J,21350,883418000,41378,13450,395955000,9569,10460,136214000,13022,3330,49121000,14751,12250,111446000,9098,12270,109730000,8943
K9K,7130,340005000,47687,4450,158031000,3314,4200,48286000,11497,1010,20460000,20257,2670,23331000,8738,4050,35381000,8736
K9L,3930,182893000,46538,2430,82843000,1780,2180,22281000,10221,570,9439000,16560,1650,14687000,8901,2170,21369000,9847
K9V,12930,538691000,41662,10450,304040000,7298,7230,73866000,10217,2140,25587000,11957,8150,70471000,8647,8030,73435000,9145
L0A,7830,420615000,53718,4100,127092000,2366,3780,49975000,13221,1760,18151000,10313,3000,26207000,8736,4440,61957000,13954
L0B,8460,467868000,55304,4510,140639000,2543,4290,72627000,16929,1770,26041000,14712,3260,29197000,8956,4950,60416000,12205
L0C,5130,285359000,55626,2600,80394000,1445,2710,38647000,14261,1190,14452000,12145,1970,17021000,8640,2860,29307000,10247
L0E,10360,510317000,49258,5850,150066000,3047,4550,60365000,13267,2090,25607000,12252,5620,49891000,8877,6000,57487000,9581
L0G,23650,1405541000,59431,9700,285571000,4805,12260,246844000,20134,4390,68724000,15655,9000,80506000,8945,12970,128690000,9922
L0H,790,54235000,68652,440,13866000,202,560,12823000,22898,190,6249000,32889,290,2966000,10228,530,5750000,10849
L0J,2880,288580000,100201,910,27942000,279,2240,117032000,52246,490,20997000,42851,670,5880000,8776,1800,24890000,13828
L0K,17890,830342000,46414,12360,359543000,7746,8770,113444000,12935,3540,43979000,12423,9540,82203000,8617,10400,100291000,9643
L0L,21600,1172279000,54272,11650,343083000,6322,11490,200019000,17408,4620,70414000,15241,8950,74952000,8375,12020,123330000,10260
L0M,19380,977903000,50459,8240,221729000,4394,6940,87719000,12640,3360,38048000,11324,8370,72002000,8602,9200,80358000,8735
L0N,1450,84954000,58589,720,19789000,338,830,16466000,19839,360,4081000,11336,550,4554000,8280,860,11036000,12833
L0P,4050,295020000,72844,2000,66209000,909,2780,117675000,42329,1070,21928000,20493,1250,10661000,8529,2580,29130000,11291
L0R,45660,2517852000,55143,21480,662287000,12010,22980,345665000,15042,8230,137469000,16703,16650,146404000,8793,23100,238717000,10334
L0S,28370,1415032000,49878,22280,767055000,15379,20990,380854000,18145,5960,99426000,16682,12120,107251000,8849,18520,211402000,11415
L1A,7660,361464000,47189,5640,186441000,3951,4190,48836000,11655,1270,17840000,14047,3650,31977000,8761,4640,53477000,11525
L1B,6380,341953000,53598,4390,151535000,2827,3390,35581000,10496,990,14847000,14997,2480,22040000,8887,3860,50803000,13161
L1C,26020,1393232000,53545,9450,285903000,5339,9210,77677000,8434,3530,46994000,13313,10340,97387000,9418,13570,168588000,12424
L1E,16300,904572000,55495,5800,182007000,3280,6190,48680000,7864,2090,30454000,14571,5620,53075000,9444,8250,107647000,13048
L1G,21290,873304000,41019,12330,386304000,9418,8780,74471000,8482,2920,36673000,12559,11000,105400000,9582,13180,141833000,10761
L1H,15390,633280000,41149,7960,210649000,5119,5200,32671000,6283,2140,25209000,11780,9540,95352000,9995,9320,105072000,11274
L1J,21190,877297000,41401,10190,282196000,6816,7000,47334000,6762,2660,30299000,11391,12040,118132000,9812,12260,140974000,11499
L1K,22640,1188698000,52504,7630,227600000,4335,8120,58436000,7197,3370,42889000,12727,8430,83580000,9915,12580,140721000,11186
L1L,6150,307255000,49960,1100,27400000,548,1970,14518000,7370,1270,11300000,8898,2380,26272000,11039,3810,39800000,10446
L1M,11900,886774000,74519,3300,108085000,1450,5130,61194000,11929,1720,36397000,21161,3030,28386000,9368,5850,64040000,10947
L1N,25740,1402986000,54506,12870,424201000,7783,12130,116265000,9585,3760,55617000,14792,10510,98860000,9406,14190,160503000,11311
L1P,11090,670324000,60444,3030,89567000,1482,4570,43962000,9620,1760,28374000,16122,3770,38311000,10162,6180,70565000,11418
L1R,23030,1402864000,60915,7460,238124000,3909,10270,111026000,10811,3320,53088000,15990,7490,74496000,9946,12240,143056000,11688
L1S,21980,1122208000,51056,9910,291050000,5701,9290,57245000,6162,3340,37622000,11264,9570,92195000,9634,12320,123016000,9985
L1T,28710,1537651000,53558,8470,193871000,3620,11570,86176000,7448,4750,52872000,11131,11090,113881000,10269,16740,176376000,10536
L1V,28680,1663316000,57996,12010,363956000,6276,14410,138122000,9585,4620,65050000,14080,10730,103279000,9625,16780,177060000,10552
L1W,9810,569145000,58017,4580,143558000,2474,5060,57790000,11421,1630,28073000,17223,3810,35064000,9203,5580,65547000,11747
L1X,12570,715618000,56931,3810,101459000,1782,5690,57944000,10183,2300,24109000,10482,4740,49220000,10384,7410,81342000,10977
L1Y,1050,71361000,67963,510,17016000,250,680,20698000,30438,270,5770000,21370,390,3338000,8559,680,7698000,11321
L1Z,16450,953780000,57981,3430,62463000,1077,6060,55210000,9111,2950,31080000,10536,5920,63774000,10773,9460,92863000,9816
L2A,7700,307442000,39928,5560,145839000,3653,3560,30664000,8613,1040,12619000,12134,5110,47577000,9311,4410,40870000,9268
L2E,9110,286815000,31484,5570,131479000,4176,3560,26071000,7323,1320,12962000,9820,7350,75848000,10319,5610,50999000,9091
L2G,15290,496552000,32476,8420,207342000,6384,5750,47000000,8174,2020,22135000,10958,10870,114724000,10554,8680,86073000,9916
L2H,15790,646603000,40950,6860,180258000,4402,6640,64653000,9737,2320,36723000,15829,8510,94028000,11049,8940,90774000,10154
L2J,7710,310245000,40239,5360,160933000,3999,4300,49099000,11418,1110,14821000,13352,4420,43396000,9818,4640,45803000,9871
L2M,16270,639068000,39279,10470,287522000,7320,7600,51512000,6778,2130,29070000,13648,9800,91376000,9324,9040,83871000,9278
L2N,14740,654256000,44386,11420,361175000,8137,9180,116749000,12718,2160,40988000,18976,7740,67814000,8761,8760,83743000,9560
L2P,7720,288296000,37344,3760,96057000,2572,2670,13893000,5203,880,8829000,10033,4660,44565000,9563,4040,39527000,9784
L2R,12230,491823000,40214,6010,157897000,3926,5010,69152000,13803,1990,29268000,14708,8080,80575000,9972,6820,66485000,9749
L2S,9760,439072000,44987,4870,139589000,3103,4620,44032000,9531,1390,24783000,17829,5050,48532000,9610,5460,59088000,10822
L2T,5640,224818000,39861,3330,112176000,2814,3140,47248000,15047,910,16371000,17990,2680,25044000,9345,3350,33869000,10110
L2V,9810,396742000,40443,4410,113175000,2798,3670,21825000,5947,1240,15824000,12761,5470,54104000,9891,5060,47718000,9430
L2W,1040,54732000,52627,440,15631000,297,640,15809000,24702,160,4059000,25369,450,4362000,9693,680,7086000,10421
L3B,11250,419093000,37253,7250,179842000,4828,4860,30574000,6291,1410,16127000,11438,8270,79590000,9624,6020,56219000,9339
L3C,16810,696186000,41415,10790,316961000,7653,8320,52272000,6283,1980,25580000,12919,8990,81906000,9111,8810,90255000,10245
L3K,9080,370500000,40804,6790,179249000,4393,4480,44873000,10016,1160,15825000,13642,5650,50920000,9012,4910,45093000,9184
L3L,350,33723000,96351,170,3563000,37,310,13305000,42919,80,2042000,25525,100,761000,7610,230,5133000,22317
L3M,14660,852596000,58158,7890,258187000,4439,8010,114394000,14281,2230,50542000,22665,5280,46149000,8740,7860,76795000,9770
L3P,18860,1143138000,60612,9900,296181000,4887,14820,206897000,13961,4000,67776000,16944,7130,69178000,9702,12700,133218000,10490
L3R,30490,1655281000,54289,15660,356499000,6567,26650,441393000,16563,7530,111271000,14777,13060,129983000,9953,23150,252182000,10893
L3S,29310,1203501000,41061,10630,159686000,3889,15930,112197000,7043,6160,54934000,8918,13920,146165000,10500,20280,216461000,10674
L3T,24740,1504774000,60824,13110,374115000,6151,20320,459572000,22617,6870,116132000,16904,9990,98673000,9877,18520,204765000,11056
L3V,22720,941570000,41442,15380,455324000,10987,11030,142003000,12874,3560,56457000,15859,13460,123443000,9171,13280,118322000,8910
L3X,24800,1533380000,61830,6350,161168000,2607,12120,132809000,10958,4950,77282000,15613,8850,85722000,9686,14260,155692000,10918
L3Y,22500,1169938000,51997,11300,346676000,6667,11680,139373000,11933,4030,64394000,15979,10320,95139000,9219,13080,131925000,10086
L3Z,20930,1080092000,51605,6690,153627000,2977,8030,98425000,12257,3630,50125000,13809,9410,88408000,9395,11300,107120000,9480
L4A,24510,1550391000,63255,10170,310299000,4906,15590,292057000,18734,4830,85759000,17755,8620,82867000,9613,14930,162853000,10908
L4B,18770,1238925000,66006,8370,175882000,2665,16830,360345000,21411,4950,94436000,19078,7080,69780000,9856,13770,146150000,10614
L4C,36620,2011621000,54932,17100,422336000,7688,25270,435078000,17217,10000,147909000,14791,16660,167646000,10063,26390,278299000,10546
L4E,27630,1785607000,64626,6900,135544000,2097,17340,230128000,13272,7100,109069000,15362,9030,93268000,10329,17850,190062000,10648
L4G,32360,2268801000,70111,11280,352250000,5024,19670,452834000,23022,6790,109748000,16163,10460,101779000,9730,19970,232891000,11662
L4H,41570,2552078000,61392,9930,181806000,2961,21020,265334000,12623,7170,117429000,16378,16140,163020000,10100,23070,222728000,9654
L4J,38650,2492942000,64500,17760,425940000,6604,30580,657697000,21507,10810,229135000,21197,14310,137288000,9594,28350,305552000,10778
L4K,10170,578202000,56854,3820,82139000,1445,5730,100388000,17520,2170,28452000,13112,4440,41368000,9317,5920,59427000,10038
L4L,30080,1828631000,60792,16590,419611000,6902,21640,453182000,20942,5020,88382000,17606,14370,128287000,8927,18210,187759000,10311
L4M,25780,1129719000,43822,10190,294316000,6716,9460,138510000,14642,4200,66347000,15797,11960,108362000,9060,13370,130501000,9761
L4N,52420,2590397000,49416,20950,597875000,12099,19440,200776000,10328,7950,129358000,16271,23940,221592000,9256,27260,254661000,9342
L4P,15560,793425000,50991,5840,143168000,2808,5340,44148000,8267,2460,35461000,14415,7380,66817000,9054,7940,77677000,9783
L4R,8530,355037000,41622,6810,186999000,4493,4330,50890000,11753,1270,19826000,15611,5890,50069000,8501,5150,48170000,9353
L4S,18420,1113393000,60445,5730,91258000,1510,13790,134772000,9773,4490,63980000,14249,6580,67087000,10196,12460,126335000,10139
L4T,23820,756375000,31754,6410,106187000,3344,6220,33772000,5430,3890,24011000,6172,11120,111422000,10020,12700,107554000,8469
L4V,40,6229000,155725,20,383000,2,30,6385000,212833,0,0,0,0,0,0,0,0,0
L4W,10720,601091000,56072,6190,175487000,3130,7090,84016000,11850,2010,32690000,16264,4630,42528000,9185,6560,64373000,9813
L4X,9260,416760000,45006,3750,82127000,1825,3640,39134000,10751,1890,20296000,10739,4870,49415000,10147,5540,52399000,9458
L4Y,11870,607968000,51219,6090,168465000,3289,6300,59195000,9396,2190,25994000,11869,5710,54863000,9608,7190,68260000,9494
L4Z,21160,1048579000,49555,6990,138457000,2794,9340,82923000,8878,3570,41430000,11605,9200,91606000,9957,11530,105100000,9115
L5A,24120,1086303000,45037,10090,216697000,4812,9300,69434000,7466,4360,43467000,9969,12640,127422000,10081,13480,126226000,9364
L5B,33320,1692809000,50805,11680,242201000,4767,15000,155146000,10343,5970,66353000,11114,14600,147454000,10100,18220,170323000,9348
L5C,15750,779084000,49466,6570,171384000,3465,7970,92013000,11545,2860,39176000,13698,6990,68491000,9798,9390,90389000,9626
L5E,6550,397207000,60642,3370,95376000,1573,3970,43649000,10995,1160,21770000,18767,2770,25776000,9305,3850,39655000,10300
L5G,10470,863533000,82477,4870,153093000,1856,7080,216816000,30624,2180,76191000,34950,3890,36836000,9469,6710,82895000,12354
L5H,8890,824069000,92696,3960,146050000,1576,7200,265007000,36807,1920,74464000,38783,2340,22174000,9476,6160,81590000,13245
L5J,15000,996685000,66446,6490,209541000,3154,8290,161291000,19456,2600,58100000,22346,5620,52828000,9400,8650,90424000,10454
L5K,6930,400953000,57858,2790,91791000,1586,3490,52399000,15014,1250,28696000,22957,2860,28428000,9940,4200,42511000,10122
